"AcceptedTaxonID","CommonName","Transliteration","Language","Country","Area","ReferenceID"
22954,"Balegge",,"Arabic","BH","Bahrain",3277
22954,"Bangada",,"Malayalam","IN","India",47702
22954,"Basung",,"Malay","MY","Malaysia",85449
22954,"Bentong",,"Javanese","ID","Indonesia",6107
22954,"Big eye scad",,"English","PH","Philippines",47573
22954,"Big eye scad",,"English","MM","Myanmar",5736
22954,"Big eye scad",,"English","IN","India",46402
22954,"Bigeye scad",,"English","AU","Australia",75154
22954,"Bigeye Scad",,"English","CU","Cuba",54206
22954,"Bigeye scad ",,"English","MY","Malaysia",85449
22954,"Bigeye scad",,"English","MX","Mexico",52299
22954,"Bigeye scad",,"English","MP","N Marianas",53190
22954,"Bigeye scad",,"English","BS","Bahamas",5521
22954,"Bigeye scad",,"English","DJ","Djibouti",5450
22954,"Bigeye scad",,"English","GU","Guam",1602
22954,"Bigeye scad",,"English","IN","India",6867
22954,"Bigeye scad",,"English","JM","Jamaica",35141
22954,"Bigeye scad",,"English","MZ","Mozambique",5284
22954,"Bigeye scad",,"English","AN","NethAntilles",35205
22954,"Bigeye scad",,"English","PH","Philippines",31411
22954,"Bigeye scad",,"English","PR","Puerto Rico",26235
22954,"Bigeye scad",,"English","VN","Viet Nam",46970
22954,"Bigeye scad",,"English","ZA","South Africa",3197
22954,"Bigeye scad",,"English","GB","UK",83882
22954,"Bigeye scad",,"English","US","USA",52299
22954,"Big-eye scad",,"English","MY","Malaysia",4789
22954,"Big-eye scad",,"English","NU","Niue",3804
22954,"Bigeye scad atulai",,"English","FM","Micronesia",3807
22954,"Big-eyed scad",,"English",,"Hawaii",4390
22954,"Bigsawan",,"Visayan","PH","Philippines",2857
22954,"Bolla",,"Sinhalese","LK","Sri Lanka",85538
22954,"Bonito ojon",,"Spanish","NI","Nicaragua",13613
22954,"Bonito ojón",,"Spanish","CR","Costa Rica",3277
22954,"Bonitom",,"Creole, Portuguese","CV","Cape Verde",27000
22954,"Budlatan",,"Cebuano","PH","Philippines",31411
22954,"Bulao",,"Visayan","PH","Philippines",2857
22954,"Bulaw",,"Visayan","PH","Philippines",58652
22954,"Buma",,"Gela","SB","Solomon Is",26367
22954,"Bunutan",,"Tagalog","PH","Philippines",2857
22954,"Burao",,"Tagalog","PH","Philippines",31411
22954,"Cá Bè tráo m?t to",,"Vietnamese","VN","Viet Nam",46970
22954,"Cá Tráo m?t to",,"Vietnamese","VN","Viet Nam",46893
22954,"Caballa ojona",,"Spanish","EC","Ecuador",40498
22954,"Carapau",,"Portuguese","BR","Brazil",3277
22954,"Carapau",,"Portuguese","MZ","Mozambique",5284
