"AcceptedTaxonID","Distribution","StandardInUse","DistributionStatus"
22954,"BS","ISO2Alpha","native"
22954,"BZ","ISO2Alpha","native"
22954,"CA","ISO2Alpha","native"
22954,"CD","ISO2Alpha","native"
22954,"CG","ISO2Alpha","native"
22954,"CI","ISO2Alpha","native"
22954,"CK","ISO2Alpha","native"
22954,"CM","ISO2Alpha","native"
22954,"CN","ISO2Alpha","native"
22954,"CO","ISO2Alpha","native"
22954,"CR","ISO2Alpha","native"
22954,"CU","ISO2Alpha","native"
22954,"CV","ISO2Alpha","native"
22954,"DJ","ISO2Alpha","native"
22954,"DM","ISO2Alpha","native"
22954,"DO","ISO2Alpha","native"
22954,"EC","ISO2Alpha","native"
22954,"EG","ISO2Alpha","native"
22954,"ER","ISO2Alpha","native"
22954,"FJ","ISO2Alpha","native"
22954,"FM","ISO2Alpha","native"
22954,"GA","ISO2Alpha","native"
22954,"GD","ISO2Alpha","native"
22954,"GF","ISO2Alpha","native"
22954,"GH","ISO2Alpha","native"
22954,"GM","ISO2Alpha","native"
22954,"GN","ISO2Alpha","native"
22954,"GP","ISO2Alpha","native"
22954,"GQ","ISO2Alpha","native"
22954,"GT","ISO2Alpha","native"
22954,"GU","ISO2Alpha","native"
22954,"GW","ISO2Alpha","native"
22954,"GY","ISO2Alpha","native"
22954,"HK","ISO2Alpha","native"
22954,"HN","ISO2Alpha","native"
22954,"HT","ISO2Alpha","native"
22954,"ID","ISO2Alpha","native"
22954,"IL","ISO2Alpha","native"
22954,"IN","ISO2Alpha","native"
22954,"IQ","ISO2Alpha","native"
22954,"IR","ISO2Alpha","native"
22954,"JM","ISO2Alpha","native"
22954,"JO","ISO2Alpha","native"
22954,"JP","ISO2Alpha","native"
22954,"KE","ISO2Alpha","native"
22954,"KH","ISO2Alpha","native"
22954,"KI","ISO2Alpha","native"
22954,"KM","ISO2Alpha","native"
22954,"KN","ISO2Alpha","native"
22954,"KR","ISO2Alpha","native"
22954,"KW","ISO2Alpha","native"
